metric,value
label,CLEAN SERIES (ANTI-TRUMP)
T,69
mean_daily_return,0.000553
std_daily_return,0.010392
ann_return,0.20183
sharpe_ann,1.016598
sortino_ann,1.205338
max_dd_usd,-173.106
max_dd_pct,-1.019679
calmar,19.793505
var_95,0.0141
cvar_95,0.018599
final_pnl,557.082
total_invested,17443.585
return_on_invested,3.193621
mc_pct_rank,100.0
