date,portfolio_value,invested,total_pnl,daily_pnl_change,daily_return,drawdown_pct
2026-01-26,3680.444,3746.3780000000006,-65.93400000000065,-3.2609999999981483,-0.0008865191590486728,0.0
2026-01-27,3741.7895000000008,3809.5905000000016,-67.80100000000084,-1.8670000000001892,-0.0004983480043925597,0.0
2026-01-28,3761.545,3871.676500000001,-110.13150000000087,-42.33050000000003,-0.011111561728222499,0.0
2026-01-29,3758.489999999999,3933.0679999999998,-174.57800000000088,-64.44650000000001,-0.016645631420910294,-0.08121662774209003
2026-01-30,3842.4529999999995,3994.641,-152.18800000000056,22.390000000000327,0.005692756901228336,0.0
2026-01-31,3852.8324999999986,4059.5345,-206.7020000000016,-54.51400000000103,-0.013646783277896821,0.0
2026-02-01,3944.9240000000013,4124.089000000002,-179.16500000000042,27.53700000000117,0.0067832900545619626,0.0
2026-02-02,4009.4155,4193.1335,-183.71799999999985,-4.552999999999429,-0.0011040013927923057,0.0
2026-02-03,4153.466000000001,4259.905000000003,-106.43900000000212,77.27899999999772,0.018429892585103174,0.0
2026-02-04,4269.829500000001,4337.405000000002,-67.57550000000083,38.863500000001295,0.009123090773151342,0.0
2026-02-05,4368.494499999999,4423.743,-55.24850000000151,12.326999999999316,0.0028420219001913153,0.0
2026-02-06,4404.7365,4503.824000000001,-99.08750000000146,-43.83899999999994,-0.009909933737109036,0.0
2026-02-07,4495.5305,4581.101,-85.57049999999981,13.517000000001644,0.003001227401426352,0.0
2026-02-08,4604.853500000004,4659.207000000004,-54.35350000000017,31.216999999999643,0.006814300754338236,0.0
2026-02-09,4697.024999999994,4742.975000000004,-45.95000000000982,8.403499999990345,0.0018036331075203006,0.0
2026-02-10,4758.604000000001,4828.584000000002,-69.98000000000047,-24.02999999999065,-0.005066440367067216,0.0
2026-02-11,4807.7275000000045,4908.044500000004,-100.3169999999991,-30.336999999998625,-0.006282794293316346,0.0
2026-02-12,4927.357499999996,4992.800500000001,-65.44300000000476,34.87399999999434,0.007105477548134356,0.0
2026-02-13,5005.145999999999,5105.423000000001,-100.27700000000186,-34.833999999997104,-0.0069768459604979405,0.0
2026-02-14,5246.764500000003,5279.744999999996,-32.9804999999933,67.29650000000856,0.013181375960426503,0.0
2026-02-15,5425.465000000006,5436.828500000001,-11.363499999995838,21.61699999999746,0.004094326525238904,0.0
2026-02-16,5486.447999999999,5588.455500000002,-102.00750000000244,-90.6440000000066,-0.01667221984287468,0.0
2026-02-17,5637.370000000003,5740.987999999998,-103.61799999999494,-1.6104999999924985,-0.00028818338089880074,0.0
2026-02-18,5774.286499999998,5889.718499999996,-115.43199999999797,-11.814000000003034,-0.0020578339477461093,0.0
2026-02-19,5921.546999999998,6038.387999999997,-116.84099999999944,-1.4090000000014697,-0.00023923044878994992,0.0
2026-02-20,6025.390499999996,6187.862000000003,-162.47150000000693,-45.63050000000749,-0.007556735340625264,0.0
2026-02-21,6107.492999999997,6266.312500000005,-158.8195000000078,3.651999999999134,0.0005901876932612804,0.0
2026-02-22,6334.847000000003,6416.816999999999,-81.96999999999571,76.84950000001209,0.012263911191791349,0.0
2026-02-23,6553.991999999996,6566.378500000005,-12.386500000009619,69.58349999998609,0.01084392776044355,0.0
2026-02-24,6600.282000000001,6719.648999999994,-119.36699999999291,-106.9804999999833,-0.016292161653487264,0.0
2026-02-25,6904.641500000001,6870.438,34.20350000000053,153.57049999999344,0.022853946686797716,0.0
2026-02-26,6914.787999999996,7029.793499999997,-115.00550000000112,-149.20900000000165,-0.021717538241375827,0.0
2026-02-27,7121.382000000002,7195.159999999999,-73.77799999999661,41.22750000000451,0.00586468151589439,0.0
2026-02-28,7458.111500000003,7364.470999999999,93.64050000000407,167.41850000000068,0.02326821085285118,0.0
2026-03-01,7655.3515000000025,7527.8465,127.50500000000284,33.86449999999877,0.004598361511641336,0.0
2026-03-02,7863.344500000002,7689.079999999989,174.26450000001296,46.75950000001012,0.006211537389877719,0.0
2026-03-03,7922.411999999998,7850.287999999997,72.12400000000162,-102.14050000001134,-0.013283838898803432,0.0
2026-03-04,7963.7845,8011.4545,-47.67000000000007,-119.79400000000169,-0.015259822314799373,0.0
2026-03-05,8108.076500000001,8170.104000000001,-62.027500000000146,-14.357500000000073,-0.0017921215180090049,0.0
2026-03-06,8131.8125,8328.423499999992,-196.6109999999917,-134.58349999999155,-0.016472678927953857,0.0
2026-03-07,8312.222000000003,8483.760500000004,-171.53850000000057,25.072499999991123,0.003010473710899926,0.0
2026-03-08,8477.073000000006,8639.061999999996,-161.98899999999048,9.549500000010084,0.0011256211204936867,0.0
2026-03-09,8736.771000000002,8792.828999999989,-56.05799999998635,105.93100000000413,0.012261863614360468,0.0
2026-03-10,8790.373500000005,8946.598999999997,-156.22549999999137,-100.16750000000502,-0.011391953602191644,0.0
2026-03-11,8748.955500000002,9099.063000000004,-350.1075000000019,-193.88200000001052,-0.021671028286839568,-0.4711745183524145
2026-03-12,9121.2495,9254.482500000004,-133.2330000000038,216.87449999999808,0.02383481683773351,0.0
2026-03-13,9353.5465,9407.591500000004,-54.04500000000371,79.1880000000001,0.008556718325416907,0.0
2026-03-14,9442.76,9512.849999999993,-70.08999999999287,-16.04499999998916,-0.0017055374906520071,0.0
2026-03-15,9506.555500000008,9670.390999999992,-163.83549999998468,-93.74549999999181,-0.00985461770131894,0.0
2026-03-16,9636.723,9820.8085,-184.08549999999923,-20.250000000014552,-0.002094020810535434,0.0
2026-03-17,9816.557499999999,9979.458999999999,-162.90149999999994,21.183999999999287,0.002157052548168441,0.0
2026-03-18,9813.08650000001,10136.689500000006,-323.6029999999955,-160.70149999999558,-0.016103227639894666,-0.035358627502448135
