ar,r_protrump,r_neutral_mean
-0.0009000034443584676,-0.0008865191590487964,1.3484285309671181e-05
-0.00039405047971313495,-0.0004983480043923168,-0.00010429752467918185
-0.011159622577121898,-0.01111156172822262,4.8060848899277537e-05
-0.01670234662000454,-0.01664563142091018,5.6715199094360845e-05
0.005650598487361439,0.005692756901227989,4.2158413866549855e-05
-0.01369853798151106,-0.013646783277896707,5.175470361435306e-05
0.006748981801311818,0.006783290054561625,3.4308253249806967e-05
-0.0010060130561905523,-0.0011040013927916437,-9.798833660109153e-05
0.018379151750404367,0.018429892585103178,5.074083469881105e-05
0.009186035976021602,0.00912309077315113,-6.294520287047137e-05
0.002923757609442593,0.0028420219001913153,-8.173570925127781e-05
-0.010040695940785245,-0.009909933737109036,0.00013076220367620847
0.002989008955393938,0.0030012274014265543,1.2218446032616212e-05
0.006795779125266516,0.006814300754338039,1.852162907152243e-05
0.0018199532573756707,0.0018036331075199107,-1.6320149855759915e-05
-0.004963696987169879,-0.00506644036706664,-0.00010274337989676112
-0.0062320405441966265,-0.0062827942933165355,-5.0753749119908995e-05
0.007115006486481863,0.007105477548133986,-9.528938347877036e-06
-0.007076274287218704,-0.0069768459604975745,9.942832672113003e-05
0.01322781638569638,0.013181375960426681,-4.6440425269697207e-05
0.004127801979171351,0.004094326525238904,-3.347545393244718e-05
-0.016641518214292654,-0.01667221984287468,-3.070162858202417e-05
-0.0003237530516594681,-0.000288183380899289,3.556967076017905e-05
-0.0021242730843757857,-0.0020578339477456335,6.64391366301524e-05
-0.00015067077351619548,-0.00023923044879010433,-8.855967527390884e-05
-0.007455732555105595,-0.007556735340625264,-0.00010100278551966915
0.00044843581082452944,0.0005901876932614272,0.00014175188243689772
0.012316543067817168,0.012263911191791642,-5.263187602552524e-05
0.010849226964385056,0.010843927760443128,-5.299203941928592e-06
-0.01632082779773162,-0.0162921616534874,2.8666144244219782e-05
0.022624686923587278,0.022853946686798122,0.00022925976321084537
-0.021525483630149278,-0.02171753824137583,-0.00019205461122655251
0.005880162083987016,0.005864681515894132,-1.548056809288393e-05
