date,anti_return,sp500_return
2026-01-27,0.00028610255680929463,0.004081896177137168
2026-01-28,0.006385249869917791,-8.172305219089626e-05
2026-01-29,0.009569840875863553,-0.001292631274007694
2026-01-30,-0.003273419569931541,-0.004301899620894223
2026-02-02,0.0006386554668780489,0.00539126612916796
2026-02-03,-0.010603805193448244,-0.008403983020698336
2026-02-04,-0.005253894642806714,-0.005072391906223106
2026-02-05,-0.001634414642487333,-0.012251015567674717
2026-02-06,0.005703917255952137,0.0196957966973359
2026-02-09,-0.0010427898801192484,0.004691086716887227
2026-02-10,0.0029030617278370664,-0.003303712975458173
2026-02-11,0.00359175363460869,-4.895607156218951e-05
2026-02-12,-0.0040590922045165324,-0.01566101212770199
2026-02-13,0.003921952829843308,0.0004990891480125548
2026-02-17,0.00018917775716448783,0.0010313220779065713
2026-02-18,0.001304316856862701,0.005566070147410729
2026-02-19,0.000122687682662012,-0.0028221256867719813
2026-02-20,0.004400005020815591,0.006939724763506794
2026-02-23,-0.0057340161094433986,-0.010385652247284827
2026-02-24,0.00880838621299671,0.0076516140863223114
2026-02-25,-0.012724684430556635,0.008136355657339944
2026-02-26,0.012014876760359885,-0.005365580569328343
2026-02-27,-0.003080154269343727,-0.00433935281103115
2026-03-02,-0.003473322739143668,0.0003983547353176853
2026-03-03,0.007516833272599819,-0.009444031095625416
2026-03-04,0.008322619646700322,0.007756049264286302
2026-03-05,0.001067861699653504,-0.005646704863891072
2026-03-06,0.00899584667031888,-0.013276795812569242
2026-03-09,-0.006797078116668236,0.008304161513105202
2026-03-10,0.006355481189668909,-0.0021351198877325173
2026-03-11,0.011827549599258188,-0.0008376012017449197
2026-03-12,-0.01310508678702032,-0.015227676506708532
2026-03-13,-0.004652672097864951,-0.006059115470564369
2026-03-16,0.0011914896645432347,0.010130883162251969
2026-03-17,-0.0011588962940304592,0.0024942548757938
2026-03-18,0.008876361134451397,-0.013607567880073446
2026-03-19,0.0027676227950375683,-0.002748797741878972
2026-03-20,-0.0022379813904454646,-0.015138182356779217
2026-03-23,0.004125364551864637,0.011453200463990454
2026-03-24,-0.011393164071369583,-0.0037425745042546366
2026-03-25,0.004710045982603499,0.005419124381509377
2026-03-26,0.0075218867153897424,-0.017406172392416708
2026-03-27,0.003162838271130762,-0.01672184352107431
2026-03-30,-0.010256948784507816,-0.003945748828622642
2026-03-31,0.003994359729524218,0.02913114047102594
2026-04-01,-0.009004096865542573,0.007168516684867399
2026-04-02,-0.000442278156743282,0.0011208758485563575
2026-04-06,-0.017021898074173973,0.0044267825126402816
2026-04-07,-0.0011166569936154015,0.0007592481161695641
2026-04-08,0.011387143020291854,0.025081414644149813
2026-04-09,-0.01941677125178407,0.006170023529293189
2026-04-10,0.0026239914569492657,-0.0011385210916523558
2026-04-13,-0.009642332631042414,0.010173274948748201
2026-04-14,-0.00298292246262213,0.011782866364792755
2026-04-15,0.007457707691815112,0.007975783355387733
2026-04-16,0.014727815607231532,0.0026099558353673835
2026-04-17,0.001212059789946086,0.012040463669150903
2026-04-20,0.006741519553991931,-0.002374372617670484
2026-04-21,-0.004778759672089939,-0.006348217959672997
2026-04-22,0.00677643821797617,0.010460084168953943
2026-04-23,-0.0018147869730741738,-0.004132868267081369
2026-04-24,-0.0030587112748415657,0.007973689797975636
2026-04-27,-0.005344765043825774,0.0012323767534654362
2026-04-28,-0.003294198070653169,-0.004894172187521972
2026-04-29,-0.016280144440183785,-0.0003991720531409948
2026-04-30,-0.010811733540924804,0.010238239941821936
